point_id,region,res_mult,steps,seed,w_grav,w_strong,w_em,w_weak,w_exp,w_cool,alc,dmax_grav,acc_d1,accnull_d1,accrob_d1,accrobnull_d1,viable_d1,curv_d1,acc_d2,accnull_d2,accrob_d2,accrobnull_d2,viable_d2,curv_d2,acc_d3,accnull_d3,accrob_d3,accrobnull_d3,viable_d3,curv_d3,acc_d4,accnull_d4,accrob_d4,accrobnull_d4,viable_d4,curv_d4,acc_curv,accnull_curv,accrob_curv,accrobnull_curv,viable_curv,curv_curv
164,0,1,16,4,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1
164,0,1,16,5,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
164,0,2,32,0,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
164,0,2,32,1,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
164,0,2,32,2,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,0,2,32,3,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
164,0,2,32,4,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
164,0,2,32,5,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
164,0,4,64,0,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,0,4,64,1,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,0,4,64,2,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,0,4,64,3,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,0,4,64,4,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,0,4,64,5,0.0,0.48,0.36,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,0,1,16,0,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1
163,0,1,16,1,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
163,0,1,16,2,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
163,0,1,16,3,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
163,0,1,16,4,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163,0,1,16,5,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163,0,2,32,0,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
163,0,2,32,1,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,0,2,32,2,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
163,0,2,32,3,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
163,0,2,32,4,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
163,0,2,32,5,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
163,0,4,64,0,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,0,4,64,1,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,0,4,64,2,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,0,4,64,3,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,0,4,64,4,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,0,4,64,5,0.0,0.48,0.36,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,0,1,16,0,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1
171,0,1,16,1,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
171,0,1,16,2,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
171,0,1,16,3,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
171,0,1,16,4,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
171,0,1,16,5,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1
171,0,2,32,0,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
171,0,2,32,1,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,0,2,32,2,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
171,0,2,32,3,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
171,0,2,32,4,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
171,0,2,32,5,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
171,0,4,64,0,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,0,4,64,1,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,0,4,64,2,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,0,4,64,3,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,0,4,64,4,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,0,4,64,5,0.0,0.48,0.48,0.5,0.8,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,1,16,0,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1
173,0,1,16,1,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1
173,0,1,16,2,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1
173,0,1,16,3,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1
173,0,1,16,4,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
173,0,1,16,5,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
173,0,2,32,0,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,2,32,1,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,2,32,2,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,2,32,3,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,2,32,4,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,2,32,5,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,4,64,0,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,4,64,1,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,4,64,2,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,4,64,3,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,4,64,4,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,4,64,5,0.0,0.48,0.48,0.5,1.0,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,1,16,0,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1
172,0,1,16,1,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1
172,0,1,16,2,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1
172,0,1,16,3,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1
172,0,1,16,4,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1
172,0,1,16,5,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
172,0,2,32,0,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,2,32,1,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,2,32,2,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,2,32,3,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,2,32,4,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,2,32,5,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,4,64,0,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,4,64,1,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,4,64,2,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,4,64,3,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,4,64,4,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,0,4,64,5,0.0,0.48,0.48,0.5,0.9,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,1,16,0,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
170,0,1,16,1,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
170,0,1,16,2,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
170,0,1,16,3,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
170,0,1,16,4,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
170,0,1,16,5,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
170,0,2,32,0,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
170,0,2,32,1,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
170,0,2,32,2,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,2,32,3,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1
170,0,2,32,4,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
170,0,2,32,5,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,4,64,0,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,4,64,1,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,4,64,2,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,4,64,3,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,4,64,4,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,4,64,5,0.0,0.48,0.48,0.5,0.7,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,1,16,0,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
162,0,1,16,1,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,1,16,2,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,1,16,3,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,1,16,4,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,1,16,5,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
162,0,2,32,0,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,2,32,1,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,2,32,2,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
162,0,2,32,3,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,2,32,4,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
162,0,2,32,5,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,4,64,0,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,4,64,1,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,4,64,2,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
162,0,4,64,3,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0,4,64,4,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
162,0,4,64,5,0.0,0.48,0.36,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,1,16,0,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
181,0,1,16,1,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
181,0,1,16,2,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1
181,0,1,16,3,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
181,0,1,16,4,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
181,0,1,16,5,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1
181,0,2,32,0,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
181,0,2,32,1,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,2,32,2,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,2,32,3,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,2,32,4,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,2,32,5,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,4,64,0,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,4,64,1,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,4,64,2,0.0,0.6,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
